LATITUDE,LONGITUDE,probability
48.9053407057,2.2421829771,-0.013990946
48.9102345963,2.2421829771,-0.011742399
48.9151284869,2.2421829771,-0.019834477
48.9200223775,2.2421829771,-0.03082199
48.9249162681,2.2421829771,-0.042478483
48.9298101587,2.2421829771,-0.04660139
48.9347040493,2.2421829771,-0.049358927
48.9395979399,2.2421829771,-0.049358927
48.9444918305,2.2421829771,-0.051651046
48.9493857211,2.2421829771,-0.05017192
48.9542796117,2.2421829771,-0.05049938
48.9591735023,2.2421829771,-0.05049938
48.9640673929,2.2421829771,-0.05049938
48.9689612835,2.2421829771,-0.05049938
48.9738551741,2.2421829771,-0.05049938
48.9787490647,2.2421829771,-0.05049938
48.7389484253,2.2470768677,-0.076434635
48.7438423159,2.2470768677,-0.076434635
48.7487362065,2.2470768677,-0.076434635
48.7536300971,2.2470768677,-0.076434635
48.7585239877,2.2470768677,-0.076434635
48.7634178783,2.2470768677,-0.076434635
48.7683117689,2.2470768677,-0.086718485
48.7732056595,2.2470768677,-0.085386015
48.7780995501,2.2470768677,-0.08530284
48.7829934407,2.2470768677,-0.08425597
48.7878873313,2.2470768677,-0.078782424
48.7927812219,2.2470768677,-0.0686094
48.7976751125,2.2470768677,-0.06252436
48.8025690031,2.2470768677,-0.041101173
48.8074628937,2.2470768677,-0.03776485
48.8123567843,2.2470768677,-0.09138381
48.8172506749,2.2470768677,0.064983174
48.8221445655,2.2470768677,0.2873791
48.8270384561,2.2470768677,0.35858187
48.8319323467,2.2470768677,0.45748055
48.8368262373,2.2470768677,0.58475196
48.8417201279,2.2470768677,0.7032094
48.8466140185,2.2470768677,0.5352001
48.8515079091,2.2470768677,0.2405947
48.8564017997,2.2470768677,0.12114208
48.8612956903,2.2470768677,0.12410028
48.8661895809,2.2470768677,0.16758654
48.8710834715,2.2470768677,0.13084951
48.8759773621,2.2470768677,0.12893517
48.8808712527,2.2470768677,0.15076071
48.8857651433,2.2470768677,0.08514258
48.8906590339,2.2470768677,0.007847679
48.8955529245,2.2470768677,0.062020626
48.9004468151,2.2470768677,-0.031429663
48.9053407057,2.2470768677,0.00012913508
48.9102345963,2.2470768677,0.0023776824
48.9151284869,2.2470768677,-0.0057143895
48.9200223775,2.2470768677,-0.016701898
48.9249162681,2.2470768677,-0.0283584
48.9298101587,2.2470768677,-0.03629882
48.9347040493,2.2470768677,-0.039056353
48.9395979399,2.2470768677,-0.039056353
48.9444918305,2.2470768677,-0.04134846
48.9493857211,2.2470768677,-0.03986934
48.9542796117,2.2470768677,-0.040196806
48.9591735023,2.2470768677,-0.040196806
48.9640673929,2.2470768677,-0.040196806
48.9689612835,2.2470768677,-0.040196806
48.9738551741,2.2470768677,-0.040196806
48.9787490647,2.2470768677,-0.040196806
48.7389484253,2.2519707583,-0.073399834
48.7438423159,2.2519707583,-0.073399834
48.7487362065,2.2519707583,-0.073399834
48.7536300971,2.2519707583,-0.073399834
48.7585239877,2.2519707583,-0.073399834
48.7634178783,2.2519707583,-0.073399834
48.7683117689,2.2519707583,-0.083683684
48.7732056595,2.2519707583,-0.0823512
48.7780995501,2.2519707583,-0.08226802
48.7829934407,2.2519707583,-0.08122115
48.7878873313,2.2519707583,-0.07574763
48.7927812219,2.2519707583,-0.06557462
48.7976751125,2.2519707583,-0.05948956
48.8025690031,2.2519707583,-0.038066357
48.8074628937,2.2519707583,-0.034730047
48.8123567843,2.2519707583,-0.08834901
48.8172506749,2.2519707583,0.08794211
48.8221445655,2.2519707583,0.3276943
48.8270384561,2.2519707583,0.45312002
48.8319323467,2.2519707583,0.5520189
48.8368262373,2.2519707583,0.67929035
48.8417201279,2.2519707583,0.7977478
48.8466140185,2.2519707583,0.62973845
48.8515079091,2.2519707583,0.33076093
48.8564017997,2.2519707583,0.21130843
48.8612956903,2.2519707583,0.17773111
48.8661895809,2.2519707583,0.22121733
48.8710834715,2.2519707583,0.18448031
48.8759773621,2.2519707583,0.14326097
48.8808712527,2.2519707583,0.16508651
48.8857651433,2.2519707583,0.14049746
48.8906590339,2.2519707583,0.061182793
48.8955529245,2.2519707583,0.10592943
48.9004468151,2.2519707583,-0.014938016
48.9053407057,2.2519707583,0.0007943071
48.9102345963,2.2519707583,0.0030428604
48.9151284869,2.2519707583,-0.0050492217
48.9200223775,2.2519707583,-0.016036727
48.9249162681,2.2519707583,-0.027693223
48.9298101587,2.2519707583,-0.03563365
48.9347040493,2.2519707583,-0.038391184
48.9395979399,2.2519707583,-0.038391184
48.9444918305,2.2519707583,-0.04068329
48.9493857211,2.2519707583,-0.03920417
48.9542796117,2.2519707583,-0.039531637
48.9591735023,2.2519707583,-0.039531637
48.9640673929,2.2519707583,-0.039531637
48.9689612835,2.2519707583,-0.039531637
48.9738551741,2.2519707583,-0.039531637
48.9787490647,2.2519707583,-0.039531637
48.7389484253,2.2568646489,-0.073399834
48.7438423159,2.2568646489,-0.073399834
48.7487362065,2.2568646489,-0.073399834
48.7536300971,2.2568646489,-0.073399834
48.7585239877,2.2568646489,-0.073399834
48.7634178783,2.2568646489,-0.073399834
48.7683117689,2.2568646489,-0.083683684
48.7732056595,2.2568646489,-0.0823512
