LATITUDE,LONGITUDE,probability
48.7634178783,2.2568646489,-0.00010072243
48.7683117689,2.2568646489,-9.1696034e-05
48.7732056595,2.2568646489,-9.411471e-05
48.7780995501,2.2568646489,-9.710216e-05
48.7829934407,2.2568646489,-9.600746e-05
48.7878873313,2.2568646489,-9.161165e-05
48.7927812219,2.2568646489,-8.097382e-05
48.7976751125,2.2568646489,-7.413113e-05
48.8025690031,2.2568646489,-8.8750276e-05
48.8074628937,2.2568646489,-8.3064406e-05
48.8123567843,2.2568646489,-0.00021937516
48.8172506749,2.2568646489,-0.00041370405
48.8221445655,2.2568646489,-0.00039053668
48.8270384561,2.2568646489,-0.00014678718
48.8319323467,2.2568646489,-3.5056775e-05
48.8368262373,2.2568646489,-7.6502714e-05
48.8417201279,2.2568646489,8.093194e-05
48.8466140185,2.2568646489,6.0195558e-05
48.8515079091,2.2568646489,0.00024547445
48.8564017997,2.2568646489,0.00013961014
48.8612956903,2.2568646489,0.00015466672
48.8661895809,2.2568646489,0.00013022579
48.8710834715,2.2568646489,0.00029630575
48.8759773621,2.2568646489,0.00034640293
48.8808712527,2.2568646489,0.00013065178
48.8857651433,2.2568646489,0.00036892103
48.8906590339,2.2568646489,0.00036793432
48.8955529245,2.2568646489,0.00019542796
48.9004468151,2.2568646489,0.0001751925
48.9053407057,2.2568646489,3.8793467e-05
48.9102345963,2.2568646489,3.4665138e-06
48.9151284869,2.2568646489,-1.8698707e-05
48.9200223775,2.2568646489,-1.5698175e-05
48.9249162681,2.2568646489,-3.2241387e-05
48.9298101587,2.2568646489,-4.054459e-05
48.9347040493,2.2568646489,-4.5995068e-05
48.9395979399,2.2568646489,-4.5995068e-05
48.9444918305,2.2568646489,-4.8464186e-05
48.9493857211,2.2568646489,-4.7190966e-05
48.9542796117,2.2568646489,-5.514658e-05
48.9591735023,2.2568646489,-5.514658e-05
48.9640673929,2.2568646489,-5.514658e-05
48.9689612835,2.2568646489,-5.514658e-05
48.9738551741,2.2568646489,-5.514658e-05
48.9787490647,2.2568646489,-5.514658e-05
48.7389484253,2.2617585395,-9.720098e-05
48.7438423159,2.2617585395,-9.720098e-05
48.7487362065,2.2617585395,-9.720098e-05
48.7536300971,2.2617585395,-9.720098e-05
48.7585239877,2.2617585395,-9.720098e-05
48.7634178783,2.2617585395,-9.720098e-05
48.7683117689,2.2617585395,-8.817457e-05
48.7732056595,2.2617585395,-9.059325e-05
48.7780995501,2.2617585395,-9.358071e-05
48.7829934407,2.2617585395,-9.2486014e-05
48.7878873313,2.2617585395,-8.8090186e-05
48.7927812219,2.2617585395,-7.745236e-05
48.7976751125,2.2617585395,-7.060968e-05
48.8025690031,2.2617585395,-8.52288e-05
48.8074628937,2.2617585395,-7.9542944e-05
48.8123567843,2.2617585395,-0.00021585374
48.8172506749,2.2617585395,-0.00041018255
48.8221445655,2.2617585395,-0.00041808386
48.8270384561,2.2617585395,-0.00012409111
48.8319323467,2.2617585395,-1.236062e-05
48.8368262373,2.2617585395,-5.7766232e-05
48.8417201279,2.2617585395,9.966839e-05
48.8466140185,2.2617585395,7.893197e-05
48.8515079091,2.2617585395,0.00026421095
48.8564017997,2.2617585395,0.00015834649
48.8612956903,2.2617585395,0.00017340315
48.8661895809,2.2617585395,0.00015481492
48.8710834715,2.2617585395,0.0003229467
48.8759773621,2.2617585395,0.00037304382
48.8808712527,2.2617585395,0.00010704948
48.8857651433,2.2617585395,0.00034531875
48.8906590339,2.2617585395,0.00034433205
48.8955529245,2.2617585395,0.00017182562
48.9004468151,2.2617585395,0.0001515902
48.9053407057,2.2617585395,4.3411466e-05
48.9102345963,2.2617585395,8.0844975e-06
48.9151284869,2.2617585395,-1.4080715e-05
48.9200223775,2.2617585395,-1.1080176e-05
48.9249162681,2.2617585395,-2.762339e-05
48.9298101587,2.2617585395,-3.5926598e-05
48.9347040493,2.2617585395,-4.137707e-05
48.9395979399,2.2617585395,-4.137707e-05
48.9444918305,2.2617585395,-4.4882756e-05
48.9493857211,2.2617585395,-4.476306e-05
48.9542796117,2.2617585395,-5.271867e-05
48.9591735023,2.2617585395,-5.271867e-05
48.9640673929,2.2617585395,-5.271867e-05
48.9689612835,2.2617585395,-5.271867e-05
48.9738551741,2.2617585395,-5.271867e-05
48.9787490647,2.2617585395,-5.271867e-05
48.7389484253,2.2666524301,-8.569184e-05
48.7438423159,2.2666524301,-8.569184e-05
48.7487362065,2.2666524301,-8.569184e-05
48.7536300971,2.2666524301,-8.569184e-05
48.7585239877,2.2666524301,-8.569184e-05
48.7634178783,2.2666524301,-8.569184e-05
48.7683117689,2.2666524301,-7.6665434e-05
48.7732056595,2.2666524301,-7.908411e-05
48.7780995501,2.2666524301,-8.207157e-05
48.7829934407,2.2666524301,-8.0976875e-05
48.7878873313,2.2666524301,-7.658106e-05
48.7927812219,2.2666524301,-6.594323e-05
48.7976751125,2.2666524301,-5.9100563e-05
48.8025690031,2.2666524301,-7.3719675e-05
48.8074628937,2.2666524301,-6.8033834e-05
48.8123567843,2.2666524301,-0.00020434463
